🐉湾湾频道「线路1」,#genre#
SkysportsCricket,http://154.12.50.54:123/smt.php?id=tiankongcricket
SkysportsCricket,http://154.12.50.54:123/smt.php?id=tiankongcricket
SkysportsArena,http://154.12.50.54:123/smt.php?id=tiankongarena
SkysportsArena,http://154.12.50.54:123/smt.php?id=tiankongarena
F1,http://154.12.50.54:123/smt.php?id=tiankongf1
ELTA体育1台,http://154.12.50.54:123/smt.php?id=eltasport1_twn
ELTA体育2台,http://154.12.50.54:123/smt.php?id=eltasport2_twn
ELTA体育3台,http://154.12.50.54:123/smt.php?id=eltasport3_twn
ELTA体育4台,http://154.12.50.54:123/smt.php?id=natgeowild_twn
RTMSports,http://154.12.50.54:123/smt.php?id=Rtmsport
RTMSports,http://154.12.50.54:123/smt.php?id=Rtmsport
Prima,http://154.12.50.54:123/smt.php?id=Prima
DAZN1,http://154.12.50.54:123/smt.php?id=golfchannel_twn
SCTV,http://154.12.50.54:123/smt.php?id=Sctv
SCTV,http://154.12.50.54:123/smt.php?id=Sctv
Sangat,http://154.12.50.54:123/smt.php?id=Dsangat
ONE,http://154.12.50.54:123/smt.php?id=SetOne
One,http://154.12.50.54:123/smt.php?id=One
Oasis,http://154.12.50.54:123/smt.php?id=Oasis
NTV71,http://154.12.50.54:123/smt.php?id=NTV7
News,http://154.12.50.54:123/smt.php?id=tiankongnews
MTV,http://154.12.50.54:123/smt.php?id=mtvhd_twn
Mix,http://154.12.50.54:123/smt.php?id=tiankongmix
MCOTThailand-1,http://154.12.50.54:123/smt.php?id=mcot_pat
LTC,http://154.12.50.54:123/smt.php?id=tlc_twn
itv2,http://154.12.50.54:123/smt.php?id=itv2_antik
itv1,http://154.12.50.54:123/smt.php?id=itv1_antik
HGTV,http://154.12.50.54:123/smt.php?id=HGTV
Goshop,http://154.12.50.54:123/smt.php?id=Goshop
CN卡通频道,http://154.12.50.54:123/smt.php?id=momo1_twn
Ceria,http://154.12.50.54:123/smt.php?id=Ceria
ABCNews,http://154.12.50.54:123/smt.php?id=abcnews_glo
Arirang,http://154.12.50.54:123/smt.php?id=arirang_twn
BBC,http://154.12.50.54:123/smt.php?id=bbcearth_twn
BBC1,http://154.12.50.54:123/smt.php?id=bbc1_antik
BBC2,http://154.12.50.54:123/smt.php?id=bbc2_antik
BBCLifestyle,http://154.12.50.54:123/smt.php?id=bbclifestyle_twn
BBCWORLDNEWS,http://154.12.50.54:123/smt.php?id=bbcnews_twn
BloombergNews,http://154.12.50.54:123/smt.php?id=bloomberg_twn
Boo,http://154.12.50.54:123/smt.php?id=Boo
CNN,http://154.12.50.54:123/smt.php?id=cnn_twn
CNBC,http://154.12.50.54:123/smt.php?id=cnbc_twn
CBSN,http://154.12.50.54:123/smt.php?id=cbsn_glo
CBS,http://154.12.50.54:123/smt.php?id=cbshd_glo
France24,http://154.12.50.54:123/smt.php?id=france24_twn
FoxNews,http://154.12.50.54:123/smt.php?id=foxnews_twn
KBSWorld,http://154.12.50.54:123/smt.php?id=KBS
KBSWorld,http://154.12.50.54:123/smt.php?id=KBS
Awani,http://154.12.50.54:123/smt.php?id=Awani
astro欢喜台,http://154.12.50.54:123/smt.php?id=Huahee
astroQJ,http://154.12.50.54:123/smt.php?id=Quanjia
Al-Jazeera,http://154.12.50.54:123/smt.php?id=aljazeera_twn
AFN,http://154.12.50.54:123/smt.php?id=Afc
AEC,http://154.12.50.54:123/smt.php?id=AEC
新加坡CNA,http://154.12.50.54:123/smt.php?id=cna


🐉湾湾频道「线路2」,#genre#
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
东森超视,rtmp://f13h.mine.nu/sat/tv331
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
