🦄电信专线「多线路」,#genre#
北京卫视,http://home.huaz.site:4000/udp/239.21.1.88:5002
江苏卫视,http://home.huaz.site:4000/udp/239.21.1.89:5002
浙江卫视,http://home.huaz.site:4000/udp/239.21.1.90:5002
湖南卫视,http://home.huaz.site:4000/udp/239.21.1.158:5002
广东卫视,http://home.huaz.site:4000/udp/239.21.1.92:5002
广西卫视,http://home.huaz.site:4000/udp/239.21.1.39:5002
贵州卫视,http://home.huaz.site:4000/udp/239.21.1.166:5002
海南卫视,http://home.huaz.site:4000/udp/239.21.2.14:5002
河北卫视,http://home.huaz.site:4000/udp/239.21.1.168:5002
河南卫视,http://home.huaz.site:4000/udp/239.21.2.37:5002
黑龙江卫视,http://home.huaz.site:4000/udp/239.21.1.91:5002
湖北卫视,http://home.huaz.site:4000/udp/239.21.1.163:5002
安徽卫视,http://home.huaz.site:4000/udp/239.21.1.159:5002
吉林卫视,http://home.huaz.site:4000/udp/239.21.2.49:5002
江西卫视,http://home.huaz.site:4000/udp/239.21.1.167:5002
辽宁卫视,http://home.huaz.site:4000/udp/239.21.1.164:5002
山西卫视,http://home.huaz.site:4000/udp/239.21.1.33:5002
陕西卫视,http://home.huaz.site:4000/udp/239.21.1.30:5002
深圳卫视,http://home.huaz.site:4000/udp/239.21.1.93:5002
四川卫视,http://home.huaz.site:4000/udp/239.21.2.15:5002
天津卫视,http://home.huaz.site:4000/udp/239.21.1.165:5002
云南卫视,http://home.huaz.site:4000/udp/239.21.1.40:5002
重庆卫视,http://home.huaz.site:4000/udp/239.21.1.233:5002
三沙卫视,http://home.huaz.site:4000/udp/239.21.2.9:5002
厦门卫视,http://home.huaz.site:4000/udp/239.21.2.6:5002

北京卫视,http://183.92.4.163:4000/udp/228.0.0.63:6108
湖南卫视,http://183.92.4.163:4000/udp/228.0.0.61:6108
浙江卫视,http://183.92.4.163:4000/udp/228.0.0.65:6108
江苏卫视,http://183.92.4.163:4000/udp/228.0.0.64:6108
东方卫视,http://183.92.4.163:4000/udp/228.0.0.62:6108
广东卫视,http://183.92.4.163:4000/udp/228.0.0.66:6108
深圳卫视,http://183.92.4.163:4000/udp/228.0.0.67:6108
黑龙江卫视,http://183.92.4.163:4000/udp/228.0.0.68:6108
天津卫视,http://183.92.4.163:4000/udp/228.0.0.120:6108
山东卫视,http://183.92.4.163:4000/udp/228.0.0.121:6108
安徽卫视,http://183.92.4.163:4000/udp/228.0.0.122:6108
辽宁卫视,http://183.92.4.163:4000/udp/228.0.0.123:6108
东南卫视,http://183.92.4.163:4000/udp/228.0.0.144:7144
江西卫视,http://183.92.4.163:4000/udp/228.0.0.147:7147
重庆卫视,http://183.92.4.163:4000/udp/228.0.0.159:7159
贵州卫视,http://183.92.4.163:4000/udp/228.0.0.160:7160
海南卫视,http://183.92.4.163:4000/udp/228.0.0.165:7165
